Gene,Biological_Role
CHD1,"chromodomain helicase DNA binding protein 1: The CHD family of proteins is characterized by the presence of chromo (chromatin organization modifier) domains and SNF2-related helicase/ATPase domains.  CHD genes alter gene expression possibly by modification of chromatin structure thus altering access of the transcriptional apparatus to its chromosomal DNA template. [provided by RefSeq, Jul 2008]"
CHD1L,"chromodomain helicase DNA binding protein 1 like: This gene encodes a DNA helicase protein involved in DNA repair. The protein converts ATP to add poly(ADP-ribose) as it regulates chromatin relaxation following DNA damage. Overexpression of this gene has been linked to several types of cancers. [provided by RefSeq, Feb 2017]"
CHD2,"chromodomain helicase DNA binding protein 2: The CHD family of proteins is characterized by the presence of chromo (chromatin organization modifier) domains and SNF2-related helicase/ATPase domains. CHD genes alter gene expression possibly by modification of chromatin structure thus altering access of the transcriptional apparatus to its chromosomal DNA template. Alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
CHD6,"chromodomain helicase DNA binding protein 6: This gene encodes a member of the SNF2/RAD54 helicase protein family. The encoded protein contains two chromodomains, a helicase domain, and an ATPase domain. Several multi-subunit protein complexes remodel chromatin to allow patterns of cell type-specific gene expression, and the encoded protein is thought to be a core member of one or more of these chromatin remodeling complexes. The encoded protein may function as a transcriptional repressor and is involved in the cellular repression of influenza virus replication. [provided by RefSeq, Jul 2013]"
CHEK1,"checkpoint kinase 1: The protein encoded by this gene belongs to the Ser/Thr protein kinase family. It is required for checkpoint mediated cell cycle arrest in response to DNA damage or the presence of unreplicated DNA. This protein acts to integrate signals from ATM and ATR, two cell cycle proteins involved in DNA damage responses, that also associate with chromatin in meiotic prophase I. Phosphorylation of CDC25A protein phosphatase by this protein is required for cells to delay cell cycle progression in response to double-strand DNA breaks. Several alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Oct 2011]"
CHEK2,"checkpoint kinase 2: In response to DNA damage and replication blocks, cell cycle progression is halted through the control of critical cell cycle regulators. The protein encoded by this gene is a cell cycle checkpoint regulator and putative tumor suppressor. It contains a forkhead-associated protein interaction domain essential for activation in response to DNA damage and is rapidly phosphorylated in response to replication blocks and DNA damage. When activated, the encoded protein is known to inhibit CDC25C phosphatase, preventing entry into mitosis, and has been shown to stabilize the tumor suppressor protein p53, leading to cell cycle arrest in G1. In addition, this protein interacts with and phosphorylates BRCA1, allowing BRCA1 to restore survival after DNA damage. Mutations in this gene have been linked with Li-Fraumeni syndrome, a highly penetrant familial cancer phenotype usually associated with inherited mutations in TP53. Also, mutations in this gene are thought to confer a predisposition to sarcomas, breast cancer, and brain tumors. This nuclear protein is a member of the CDS1 subfamily of serine/threonine protein kinases. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Apr 2012]"
CHEK2P2,CHEK2 pseudogene 2
CHI3L1,"chitinase 3 like 1: Chitinases catalyze the hydrolysis of chitin, which is an abundant glycopolymer found in insect exoskeletons and fungal cell walls. The glycoside hydrolase 18 family of chitinases includes eight human family members. This gene encodes a glycoprotein member of the glycosyl hydrolase 18 family. The protein lacks chitinase activity and is secreted by activated macrophages, chondrocytes, neutrophils and synovial cells. The protein is thought to play a role in the process of inflammation and tissue remodeling. [provided by RefSeq, Sep 2009]"
CHKA,"choline kinase alpha: The major pathway for the biosynthesis of phosphatidylcholine occurs via the CDP-choline pathway. The protein encoded by this gene is the initial enzyme in the sequence and may play a regulatory role. The encoded protein also catalyzes the phosphorylation of ethanolamine. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
CHM,"CHM Rab escort protein: This gene encodes component A of the RAB geranylgeranyl transferase holoenzyme. In the dimeric holoenzyme, this subunit binds unprenylated Rab GTPases and then presents them to the catalytic Rab GGTase subunit for the geranylgeranyl transfer reaction. Rab GTPases need to be geranylgeranyled on either one or two cysteine residues in their C-terminus to localize to the correct intracellular membrane. Mutations in this gene are a cause of choroideremia; also known as tapetochoroidal dystrophy (TCD). This X-linked disease is characterized by progressive dystrophy of the choroid, retinal pigment epithelium and retina. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Mar 2016]"
CHMP1A,"charged multivesicular body protein 1A: This gene encodes a member of the CHMP/Chmp family of proteins which are involved in multivesicular body sorting of proteins to the interiors of lysosomes. The initial prediction of the protein sequence encoded by this gene suggested that the encoded protein was a metallopeptidase. The nomenclature has been updated recently to reflect the correct biological function of this encoded protein. Several transcripts encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2012]"
CHMP3,"charged multivesicular body protein 3: This gene encodes a protein that sorts transmembrane proteins into lysosomes/vacuoles via the multivesicular body (MVB) pathway. This protein, along with other soluble coiled-coil containing proteins, forms part of the ESCRT-III protein complex that binds to the endosomal membrane and recruits additional cofactors for protein sorting into the MVB. This protein may also co-immunoprecipitate with a member of the IFG-binding protein superfamily. Alternative splicing results in multiple transcript variants. Read-through transcription also exists between this gene and the upstream ring finger protein 103 (RNF103) gene. [provided by RefSeq, Nov 2010]"
CHMP4C,"charged multivesicular body protein 4C: CHMP4C belongs to the chromatin-modifying protein/charged multivesicular body protein (CHMP) family. These proteins are components of ESCRT-III (endosomal sorting complex required for transport III), a complex involved in degradation of surface receptor proteins and formation of endocytic multivesicular bodies (MVBs). Some CHMPs have both nuclear and cytoplasmic/vesicular distributions, and one such CHMP, CHMP1A (MIM 164010), is required for both MVB formation and regulation of cell cycle progression (Tsang et al., 2006 [PubMed 16730941]).[supplied by OMIM, Mar 2008]"
CHMP5,"charged multivesicular body protein 5: CHMP5 belongs to the chromatin-modifying protein/charged multivesicular body protein (CHMP) family. These proteins are components of ESCRT-III (endosomal sorting complex required for transport III), a complex involved in degradation of surface receptor proteins and formation of endocytic multivesicular bodies (MVBs). Some CHMPs have both nuclear and cytoplasmic/vesicular distributions, and one such CHMP, CHMP1A (MIM 164010), is required for both MVB formation and regulation of cell cycle progression (Tsang et al., 2006 [PubMed 16730941]).[supplied by OMIM, Mar 2008]"
CHPF,"chondroitin polymerizing factor: Enables N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity and glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity. Involved in chondroitin sulfate biosynthetic process. Predicted to be located in Golgi membrane. [provided by Alliance of Genome Resources, Apr 2022]"
CHRFAM7A,"CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion: The nicotinic acetylcholine receptors (nAChRs) are members of a superfamily of ligand-gated ion channels that mediate fast signal transmission at synapses. The family member CHRNA7, which is located on chromosome 15 in a region associated with several neuropsychiatric disorders, is partially duplicated and forms a hybrid with a novel gene from the family with sequence similarity 7 (FAM7A). Alternative splicing has been observed, and two variants exist, for this hybrid gene. The N-terminally truncated products predicted by the largest open reading frames for each variant would lack the majority of the neurotransmitter-gated ion-channel ligand binding domain but retain the transmembrane region that forms the ion channel. Although current evidence supports transcription of this hybrid gene, translation of the nicotinic acetylcholine receptor-like protein-encoding open reading frames has not been confirmed. [provided by RefSeq, Jul 2008]"
CHRM1,"cholinergic receptor muscarinic 1: The muscarinic cholinergic receptors belong to a larger family of G protein-coupled receptors. The functional diversity of these receptors is defined by the binding of acetylcholine and includes cellular responses such as adenylate cyclase inhibition, phosphoinositide degeneration, and potassium channel mediation. Muscarinic receptors influence many effects of acetylcholine in the central and peripheral nervous system. The muscarinic cholinergic receptor 1 is involved in mediation of vagally-induced bronchoconstriction and in the acid secretion of the gastrointestinal tract. The gene encoding this receptor is localized to 11q13. [provided by RefSeq, Jul 2008]"
CHRM3,"cholinergic receptor muscarinic 3: The muscarinic cholinergic receptors belong to a larger family of G protein-coupled receptors. The functional diversity of these receptors is defined by the binding of acetylcholine and includes cellular responses such as adenylate cyclase inhibition, phosphoinositide degeneration, and potassium channel mediation. Muscarinic receptors influence many effects of acetylcholine in the central and peripheral nervous system. The muscarinic cholinergic receptor 3 controls smooth muscle contraction and its stimulation causes secretion of glandular tissue. Alternative promoter use and alternative splicing results in multiple transcript variants that have different tissue specificities. [provided by RefSeq, Dec 2016]"
CHRNA3,"cholinergic receptor nicotinic alpha 3 subunit: This locus encodes a member of the nicotinic acetylcholine receptor family of proteins. Members of this family of proteins form pentameric complexes comprised of both alpha and beta subunits. This locus encodes an alpha-type subunit, as it contains characteristic adjacent cysteine residues. The encoded protein is a ligand-gated ion channel that likely plays a role in neurotransmission. Polymorphisms in this gene have been associated with an increased risk of smoking initiation and an increased susceptibility to lung cancer. Alternatively spliced transcript variants have been described. [provided by RefSeq, Nov 2009]"
CHRNA4,"cholinergic receptor nicotinic alpha 4 subunit: This gene encodes a nicotinic acetylcholine receptor, which belongs to a superfamily of ligand-gated ion channels that play a role in fast signal transmission at synapses. These pentameric receptors can bind acetylcholine, which causes an extensive change in conformation that leads to the opening of an ion-conducting channel across the plasma membrane. This protein is an integral membrane receptor subunit that can interact with either nAChR beta-2 or nAChR beta-4 to form a functional receptor. Mutations in this gene cause nocturnal frontal lobe epilepsy type 1. Polymorphisms in this gene that provide protection against nicotine addiction have been described. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2012]"
CHRNA5,"cholinergic receptor nicotinic alpha 5 subunit: The protein encoded by this gene is a nicotinic acetylcholine receptor subunit and a member of a superfamily of ligand-gated ion channels that mediate fast signal transmission at synapses. These receptors are thought to be heteropentamers composed of separate but similar subunits. Defects in this gene have been linked to susceptibility to lung cancer type 2 (LNCR2).[provided by RefSeq, Jun 2010]"
CHRNA7,"cholinergic receptor nicotinic alpha 7 subunit: The nicotinic acetylcholine receptors (nAChRs) are members of a superfamily of ligand-gated ion channels that mediate fast signal transmission at synapses. The nAChRs are thought to be hetero-pentamers composed of homologous subunits. The proposed structure for each subunit is a conserved N-terminal extracellular domain followed by three conserved transmembrane domains, a variable cytoplasmic loop, a fourth conserved transmembrane domain, and a short C-terminal extracellular region. The protein encoded by this gene forms a homo-oligomeric channel, displays marked permeability to calcium ions and is a major component of brain nicotinic receptors that are blocked by, and highly sensitive to, alpha-bungarotoxin. Once this receptor binds acetylcholine, it undergoes an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane. This gene is located in a region identified as a major susceptibility locus for juvenile myoclonic epilepsy and a chromosomal location involved in the genetic transmission of schizophrenia. An evolutionarily recent partial duplication event in this region results in a hybrid containing sequence from this gene and a novel FAM7A gene. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2012]"
CHRNB4,"cholinergic receptor nicotinic beta 4 subunit: This gene is found within a conserved gene cluster and encodes one of the beta subunits of the nicotinic acetylcholine receptor (nAChRs) superfamily which form ligand-gated ion channels with a central pore that forms a cation channel. Neuronal nAChRs are pentameric structures that can be either homomeric or heteromeric, with heteromeric structures containing both alpha and beta subunits. Each subunit contains an extracellular amino terminus and four transmembrane domains. Nicotine is one of the agonists that binds to the receptor. Variants in this gene have been associated with nicotine dependence and lung cancer. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Sep 2017]"
CHST15,"carbohydrate sulfotransferase 15: Chondroitin sulfate (CS) is a glycosaminoglycan which is an important structural component of the extracellular matrix and which links to proteins to form proteoglycans. Chondroitin sulfate E (CS-E) is an isomer of chondroitin sulfate in which the C-4 and C-6 hydroxyl groups are sulfated. This gene encodes a type II transmembrane glycoprotein that acts as a sulfotransferase to transfer sulfate to the C-6 hydroxal group of chondroitin sulfate. This gene has also been identified as being co-expressed with RAG1 in B-cells and as potentially acting as a B-cell surface signaling receptor. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2012]"
CHST6,"carbohydrate sulfotransferase 6: The protein encoded by this gene is an enzyme that catalyzes the transfer of a sulfate group to the GlcNAc residues of keratan. Keratan sulfate helps maintain corneal transparency. Defects in this gene are a cause of macular corneal dystrophy (MCD). [provided by RefSeq, Jan 2010]"
CHSY1,"chondroitin sulfate synthase 1: This gene encodes a member of the chondroitin N-acetylgalactosaminyltransferase family. These enzymes possess dual glucuronyltransferase and galactosaminyltransferase activity and play critical roles in the biosynthesis of chondroitin sulfate, a glycosaminoglycan involved in many biological processes including cell proliferation and morphogenesis. Decreased expression of this gene may play a role in colorectal cancer, and mutations in this gene are a cause of temtamy preaxial brachydactyly syndrome. [provided by RefSeq, Dec 2011]"
CHUK,"component of inhibitor of nuclear factor kappa B kinase complex: This gene encodes a member of the serine/threonine protein kinase family. The encoded protein, a component of a cytokine-activated protein complex that is an inhibitor of the essential transcription factor NF-kappa-B complex, phosphorylates sites that trigger the degradation of the inhibitor via the ubiquination pathway, thereby activating the transcription factor. [provided by RefSeq, Jul 2008]"
CIAPIN1,"cytokine induced apoptosis inhibitor 1: CIAPIN1 is a cytokine-induced inhibitor of apoptosis with no relation to apoptosis regulatory molecules of the BCL2 (MIM 151430) or CASP (see MIM 147678) families. Expression of CIAPIN1 is dependent on growth factor stimulation (Shibayama et al., 2004 [PubMed 14970183]).[supplied by OMIM, Mar 2008]"
CIB1,"calcium and integrin binding 1: This gene encodes a member of the EF-hand domain-containing calcium-binding superfamily. The encoded protein interacts with many other proteins, including the platelet integrin alpha-IIb-beta-3, DNA-dependent protein kinase, presenilin-2, focal adhesion kinase, p21 activated kinase, and protein kinase D. The encoded protein may be involved in cell survival and proliferation, and is associated with several disease states including cancer and Alzheimer's disease. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2013]"
CIBAR1,"CBY1 interacting BAR domain containing 1: Enables phospholipid binding activity. Involved in several processes, including inner mitochondrial membrane organization; limb morphogenesis; and membrane tubulation. Located in several cellular components, including centriole; ciliary base; and mitochondrial crista. [provided by Alliance of Genome Resources, Apr 2022]"
CIDEA,"cell death inducing DFFA like effector a: This gene encodes the homolog of the mouse protein Cidea that has been shown to activate apoptosis. This activation of apoptosis is inhibited by the DNA fragmentation factor DFF45 but not by caspase inhibitors. Mice that lack functional Cidea have higher metabolic rates, higher lipolysis in brown adipose tissue and higher core body temperatures when subjected to cold. These mice are also resistant to diet-induced obesity and diabetes. This suggests that in mice this gene product plays a role in thermogenesis and lipolysis. Alternatively spliced transcripts have been identified. [provided by RefSeq, Aug 2010]"
CIDEB,"cell death inducing DFFA like effector b: Enables identical protein binding activity. Involved in activation of cysteine-type endopeptidase activity; positive regulation of cell death; and positive regulation of release of cytochrome c from mitochondria. Acts upstream of or within apoptotic process. Located in cytosol and perinuclear region of cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
CIDEC,"cell death inducing DFFA like effector c: This gene encodes a member of the cell death-inducing DNA fragmentation factor-like effector family. Members of this family play important roles in apoptosis. The encoded protein promotes lipid droplet formation in adipocytes and may mediate adipocyte apoptosis. This gene is regulated by insulin and its expression is positively correlated with insulin sensitivity. Mutations in this gene may contribute to insulin resistant diabetes. A pseudogene of this gene is located on the short arm of chromosome 3. Alternatively spliced transcript variants that encode different isoforms have been observed for this gene. [provided by RefSeq, Dec 2010]"
CILK1,"ciliogenesis associated kinase 1: Eukaryotic protein kinases are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. This gene encodes an intestinal serine/threonine kinase harboring a dual phosphorylation site found in mitogen-activating protein (MAP) kinases. The protein localizes to the intestinal crypt region and is thought to be important in intestinal epithelial cell proliferation and differentiation. Alternative splicing has been observed at this locus and two variants, encoding the same isoform, have been identified. [provided by RefSeq, Jul 2008]"
CIP2A,"cellular inhibitor of PP2A: Enables protein homodimerization activity. Predicted to act upstream of or within positive regulation of neural precursor cell proliferation and spermatogenesis. Located in cytosol and plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
CIRBP,"cold inducible RNA binding protein: Enables mRNA 3'-UTR binding activity and small ribosomal subunit rRNA binding activity. Involved in mRNA stabilization; positive regulation of translation; and response to UV. Located in cytoplasm and nucleoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
CISD1,"CDGSH iron sulfur domain 1: This gene encodes a protein with a CDGSH iron-sulfur domain and has been shown to bind a redox-active [2Fe-2S] cluster. The encoded protein has been localized to the outer membrane of mitochondria and is thought to play a role in regulation of oxidation. Genes encoding similar proteins are located on chromosomes 4 and 17, and a pseudogene of this gene is located on chromosome 2. [provided by RefSeq, Feb 2012]"
CISD2,"CDGSH iron sulfur domain 2: The protein encoded by this gene is a zinc finger protein that localizes to the endoplasmic reticulum. The encoded protein binds an iron/sulfur cluster and may be involved in calcium homeostasis. Defects in this gene are a cause of Wolfram syndrome 2. [provided by RefSeq, Mar 2011]"
CISH,"cytokine inducible SH2 containing protein: The protein encoded by this gene contains a SH2 domain and a SOCS box domain. The protein thus belongs to the cytokine-induced STAT inhibitor (CIS), also known as suppressor of cytokine signaling (SOCS) or STAT-induced STAT inhibitor (SSI), protein family. CIS family members are known to be cytokine-inducible negative regulators of cytokine signaling. The expression of this gene can be induced by IL2, IL3, GM-CSF and EPO in hematopoietic cells. Proteasome-mediated degradation of this protein has been shown to be involved in the inactivation of the erythropoietin receptor. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Aug 2008]"
CITED2,"Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2: The protein encoded by this gene inhibits transactivation of HIF1A-induced genes by competing with binding of hypoxia-inducible factor 1-alpha to p300-CH1. Mutations in this gene are a cause of cardiac septal defects. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, May 2012]"
CIZ1,"CDKN1A interacting zinc finger protein 1: The protein encoded by this gene is a zinc finger DNA binding protein that interacts with CIP1, part of a complex with cyclin E. The encoded protein may regulate the cellular localization of CIP1. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Apr 2012]"
CKAP2,"cytoskeleton associated protein 2: This gene encodes a cytoskeleton-associated protein that stabalizes microtubules and plays a role in the regulation of cell division. The encoded protein is itself regulated through phosphorylation at multiple serine and threonine residues. There is a pseudogene of this gene on chromosome 14. Alternative splicing results in multiple transcript variations. [provided by RefSeq, Nov 2013]"
CKAP4,"cytoskeleton associated protein 4: Enables RNA binding activity. Located in several cellular components, including lipid droplet; nuclear speck; and rough endoplasmic reticulum. [provided by Alliance of Genome Resources, Apr 2022]"
CKB,"creatine kinase B: The protein encoded by this gene is a cytoplasmic enzyme involved in energy homeostasis. The encoded protein reversibly catalyzes the transfer of phosphate between ATP and various phosphogens such as creatine phosphate. It acts as a homodimer in brain as well as in other tissues, and as a heterodimer with a similar muscle isozyme in heart. The encoded protein is a member of the ATP:guanido phosphotransferase protein family. A pseudogene of this gene has been characterized. [provided by RefSeq, Jul 2008]"
CKLF,"chemokine like factor: The product of this gene is a cytokine. Cytokines are small proteins that have an essential role in the immune and inflammatory responses. This gene is one of several chemokine-like factor genes located in a cluster on chromosome 16. The protein encoded by this gene is a potent chemoattractant for neutrophils, monocytes and lymphocytes. It also can stimulate the proliferation of skeletal muscle cells. This protein may play important roles in inflammation and in the regeneration of skeletal muscle. Alternatively spliced transcript variants encoding different isoforms have been identified. Naturally occurring read-through transcription occurs between this locus and the neighboring locus CMTM1 (CKLF-like MARVEL transmembrane domain containing 1).[provided by RefSeq, Feb 2011]"
CKMT1A,"creatine kinase, mitochondrial 1A: Mitochondrial creatine (MtCK) kinase is responsible for the transfer of high energy phosphate from mitochondria to the cytosolic carrier, creatine. It belongs to the creatine kinase isoenzyme family. It exists as two isoenzymes, sarcomeric MtCK and ubiquitous MtCK, encoded by separate genes. Mitochondrial creatine kinase occurs in two different oligomeric forms: dimers and octamers, in contrast to the exclusively dimeric cytosolic creatine kinase isoenzymes. Many malignant cancers with poor prognosis have shown overexpression of ubiquitous mitochondrial creatine kinase; this may be related to high energy turnover and failure to eliminate cancer cells via apoptosis. Ubiquitous mitochondrial creatine kinase has 80% homology with the coding exons of sarcomeric mitochondrial creatine kinase. Two genes located near each other on chromosome 15 have been identified which encode identical mitochondrial creatine kinase proteins. [provided by RefSeq, Jul 2008]"
CKMT1B,"creatine kinase, mitochondrial 1B: Mitochondrial creatine (MtCK) kinase is responsible for the transfer of high energy phosphate from mitochondria to the cytosolic carrier, creatine. It belongs to the creatine kinase isoenzyme family. It exists as two isoenzymes, sarcomeric MtCK and ubiquitous MtCK, encoded by separate genes. Mitochondrial creatine kinase occurs in two different oligomeric forms: dimers and octamers, in contrast to the exclusively dimeric cytosolic creatine kinase isoenzymes. Many malignant cancers with poor prognosis have shown overexpression of ubiquitous mitochondrial creatine kinase; this may be related to high energy turnover and failure to eliminate cancer cells via apoptosis. Ubiquitous mitochondrial creatine kinase has 80% homology with the coding exons of sarcomeric mitochondrial creatine kinase. Two genes located near each other on chromosome 15 have been identified which encode identical mitochondrial creatine kinase proteins. [provided by RefSeq, Jul 2008]"
CKS1B,"CDC28 protein kinase regulatory subunit 1B: CKS1B protein binds to the catalytic subunit of the cyclin dependent kinases and is essential for their biological function. The CKS1B mRNA is found to be expressed in different patterns through the cell cycle in HeLa cells, which reflects a specialized role for the encoded protein. At least two transcript variants have been identified for this gene, and it appears that only one of them encodes a protein. [provided by RefSeq, Sep 2008]"
CKS2,"CDC28 protein kinase regulatory subunit 2: CKS2 protein binds to the catalytic subunit of the cyclin dependent kinases and is essential for their biological function. The CKS2 mRNA is found to be expressed in different patterns through the cell cycle in HeLa cells, which reflects specialized role for the encoded protein. [provided by RefSeq, Jul 2008]"
CLCA2,"chloride channel accessory 2: This gene encodes a member of the calcium-activated chloride channel regulator (CLCR) family of proteins. Members of this family regulate the transport of chloride across the plasma membrane. The encoded protein is autoproteolytically processed to generate N- and C- terminal fragments. Expression of this gene is upregulated by the tumor suppressor protein p53 in response to DNA damage. In breast cancer, expression of this gene is downregulated and the encoded protein may inhibit migration and invasion while promoting mesenchymal-to-epithelial transition in cancer cell lines. [provided by RefSeq, Sep 2016]"
CLCN3,"chloride voltage-gated channel 3: This gene encodes a member of the voltage-gated chloride channel (ClC) family. The encoded protein is present in all cell types and localized in plasma membranes and in intracellular vesicles. It is a multi-pass membrane protein which contains a ClC domain and two additional C-terminal CBS (cystathionine beta-synthase) domains. The ClC domain catalyzes the selective flow of Cl- ions across cell membranes, and the CBS domain may have a regulatory function. This protein plays a role in both acidification and transmitter loading of GABAergic synaptic vesicles, and in smooth muscle cell activation and neointima formation. This protein is required for lysophosphatidic acid (LPA)-activated Cl- current activity and fibroblast-to-myofibroblast differentiation. The protein activity is regulated by Ca(2+)/calmodulin-dependent protein kinase II (CaMKII) in glioma cells. Multiple alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Aug 2011]"
CLDN1,"claudin 1: Tight junctions represent one mode of cell-to-cell adhesion in epithelial or endothelial cell sheets, forming continuous seals around cells and serving as a physical barrier to prevent solutes and water from passing freely through the paracellular space. These junctions are comprised of sets of continuous networking strands in the outwardly facing cytoplasmic leaflet, with complementary grooves in the inwardly facing extracytoplasmic leaflet. The protein encoded by this gene, a member of the claudin family, is an integral membrane protein and a component of tight junction strands. Loss of function mutations result in neonatal ichthyosis-sclerosing cholangitis syndrome. [provided by RefSeq, Jul 2008]"
CLDN18,"claudin 18: This gene encodes a member of the claudin family. Claudins are integral membrane proteins and components of tight junction strands. Tight junction strands serve as a physical barrier to prevent solutes and water from passing freely through the paracellular space between epithelial or endothelial cell sheets, and also play critical roles in maintaining cell polarity and signal transductions. This gene is upregulated in patients with ulcerative colitis and highly overexpressed in infiltrating ductal adenocarcinomas. PKC/MAPK/AP-1 (protein kinase C/mitogen-activated protein kinase/activator protein-1) dependent pathway regulates the expression of this gene in gastric cells. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jun 2010]"
CLDN2,"claudin 2: This gene product belongs to the claudin protein family whose members have been identified as major integral membrane proteins localized exclusively at tight junctions. Claudins are expressed in an organ-specific manner and regulate tissue-specific physiologic properties of tight junctions. This protein is expressed in the intestine. Alternatively spliced transcript variants with different 5' untranslated region have been found for this gene.[provided by RefSeq, Jan 2010]"
CLDN3,"claudin 3: Tight junctions represent one mode of cell-to-cell adhesion in epithelial or endothelial cell sheets, forming continuous seals around cells and serving as a physical barrier to prevent solutes and water from passing freely through the paracellular space. These junctions are comprised of sets of continuous networking strands in the outwardly facing cytoplasmic leaflet, with complementary grooves in the inwardly facing extracytoplasmic leaflet. The protein encoded by this intronless gene, a member of the claudin family, is an integral membrane protein and a component of tight junction strands. It is also a low-affinity receptor for Clostridium perfringens enterotoxin, and shares aa sequence similarity with a putative apoptosis-related protein found in rat. [provided by RefSeq, Jul 2008]"
CLDN4,"claudin 4: The protein encoded by this intronless gene belongs to the claudin family. Claudins are integral membrane proteins that are components of the epithelial cell tight junctions, which regulate movement of solutes and ions through the paracellular space. This protein is a high-affinity receptor for Clostridium perfringens enterotoxin (CPE) and may play a role in internal organ development and function during pre- and postnatal life. This gene is deleted in Williams-Beuren syndrome, a neurodevelopmental disorder affecting multiple systems. [provided by RefSeq, Sep 2013]"
CLDN5,"claudin 5: This gene encodes a member of the claudin family. Claudins are integral membrane proteins and components of tight junction strands. Tight junction strands serve as a physical barrier to prevent solutes and water from passing freely through the paracellular space between epithelial or endothelial cell sheets. Mutations in this gene have been found in patients with velocardiofacial syndrome. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, May 2018]"
CLDN7,"claudin 7: This gene encodes a member of the claudin family. Claudins are integral membrane proteins and components of tight junction strands. Tight junction strands serve as a physical barrier to prevent solutes and water from passing freely through the paracellular space between epithelial or endothelial cell sheets, and also play critical roles in maintaining cell polarity and signal transductions. Differential expression of this gene has been observed in different types of malignancies, including breast cancer, ovarian cancer, hepatocellular carcinomas, urinary tumors, prostate cancer, lung cancer, head and neck cancers, thyroid carcinomas, etc.. Alternatively spliced transcript variants encoding different isoforms have been found.[provided by RefSeq, May 2010]"
CLDN8,"claudin 8: This gene encodes a member of the claudin family. Claudins are integral membrane proteins and components of tight junction strands. Tight junction strands serve as a physical barrier to prevent solutes and water from passing freely through the paracellular space between epithelial or endothelial cell sheets, and also play critical roles in maintaining cell polarity and signal transductions. This protein plays important roles in the paracellular cation barrier of the distal renal tubule, and in the paracellular barrier to prevent sodium back-leakage in distal colon. Differential expression of this gene has been observed in colorectal carcinoma and renal cell tumors, and along with claudin-7, is an immunohistochemical marker for the differential diagnosis of chromophobe renal cell carcinoma and renal oncocytoma.[provided by RefSeq, May 2010]"
CLEC12A,"C-type lectin domain family 12 member A: This gene encodes a member of the C-type lectin/C-type lectin-like domain (CTL/CTLD) superfamily. Members of this family share a common protein fold and have diverse functions, such as cell adhesion, cell-cell signaling, glycoprotein turnover, and roles in inflammation and immune response. The protein encoded by this gene is a negative regulator of granulocyte and monocyte function. Several alternatively spliced transcript variants of this gene have been described, but the full-length nature of some of these variants has not been determined. This gene is closely linked to other CTL/CTLD superfamily members in the natural killer gene complex region on chromosome 12p13. [provided by RefSeq, May 2011]"
CLEC14A,"C-type lectin domain containing 14A: This gene encodes a member of the C-type lectin/C-type lectin-like domain (CTL/CTLD) superfamily. Members of this family share a common protein fold and have diverse functions, such as cell adhesion, cell-cell signalling, glycoprotein turnover, and roles in inflammation and immune response. This family member plays a role in cell-cell adhesion and angiogenesis. It functions in filopodia formation, cell migration and tube formation. Due to its presence at higher levels in tumor endothelium than in normal tissue endothelium, it is considered to be a candidate for tumor vascular targeting. [provided by RefSeq, Jan 2012]"
CLEC19A,"C-type lectin domain containing 19A: Predicted to enable carbohydrate binding activity. Predicted to be located in extracellular region. [provided by Alliance of Genome Resources, Apr 2022]"
